#input
#!/bin/sh
#
# This is the configuration of the final run.
# The seed value will be a non-zero value that will not be disclosed.
##
#
#
#SERVER=localhost
#PORT=9000
#SEED=5041
#TOTAL=500
#START=0
#DIFFICULTY=30000000
#REP_PROB_PERCENT=20
#DELAY_US=600000
#PRIO_LAMBDA=1.5
#
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#


**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 3152846535939948506 3152846535939948506 2] 182348583
[1 6312818450892701566 6312818450892701566 2] 182096734
[1 9041943092826302859 9041943092826302859 1] 182446797
[1 2856539413314948307 2856539413314948307 1] 182232152
[1 5380935037227546951 5380935037227546951 1] 181963060
[1 7465279672643454733 7465279672643454733 1] 181948482
[1 6423217256339162762 6423217256339162762 1] 182948089
[1 6190378323326485826 6190378323326485826 3] 182436385
[1 4811212750625984352 4811212750625984352 1] 182271928
[1 4541849469276830559 4541849469276830559 1] 181968144
[1 230278193608570785 230278193608570785 1] 181459559
[1 8796452180611775208 8796452180611775208 1] 181512489
[1 7951556637785314359 7951556637785314359 2] 181219092
[1 1190941672751438369 1190941672751438369 1] 181257566
[1 2334543312721676862 2334543312721676862 1] 182630957
[1 4021089274693363635 4021089274693363635 1] 184028000
[1 5788881540600095843 5788881540600095843 1] 184669202
[1 2036909659925042171 2036909659925042171 2] 184740112
[1 7008706794286656759 7008706794286656759 1] 184577424
[1 8674095322927264939 8674095322927264939 1] 184813498
[1 8939596530689448133 8939596530689448133 1] 186063342
[1 6041612706119483417 6041612706119483417 1] 186668102
[1 5010598880146546224 5010598880146546224 1] 186651463
[1 3558554399823816184 3558554399823816184 1] 187143069
[1 3966236307845293463 3966236307845293463 1] 187132709
[1 5152867666612939994 5152867666612939994 1] 186662647
[1 3575030713274475525 3575030713274475525 1] 188169280
[1 769942351571177457 769942351571177457 1] 188095180
[1 3337160779789067394 3337160779789067394 2] 189392656
[1 4538011972252671285 4538011972252671285 2] 188997951
[1 7496270305388725263 7496270305388725263 2] 189229724
[1 7835094993739046534 7835094993739046534 1] 190627307
[1 7253081084140999038 7253081084140999038 1] 191268118
[1 2965510242296456540 2965510242296456540 1] 192180819
[1 4826508407678470599 4826508407678470599 1] 191647579
[1 4643234138915544813 4643234138915544813 1] 193092174
[1 3815681640050750010 3815681640050750010 1] 193996216
[1 5593717899833931073 5593717899833931073 1] 194238269
[1 1452942473505964474 1452942473505964474 1] 195182498
[1 1113918663186012118 1113918663186012118 1] 195131034
[1 4133824371882797777 4133824371882797777 1] 196299841
[1 6702312599032352784 6702312599032352784 1] 197683703
[1 1392740535184907307 1392740535184907307 1] 197706439
[1 8219298985896031870 8219298985896031870 1] 198339318
[1 407680228762628637 407680228762628637 1] 198876696
[1 3397674522525353132 3397674522525353132 3] 198994021
[1 3380263676397564338 3380263676397564338 1] 198604290
[1 8228581028098359699 8228581028098359699 1] 199179779
[1 3203016569110680163 3203016569110680163 1] 200525504
[1 5041716788574141913 5041716788574141913 3] 201271966
[1 5718108348191035616 5718108348191035616 1] 202395482
[1 5163588175456553285 5163588175456553285 1] 201900924
[1 2367632123291455431 2367632123291455431 1] 202898789
[1 2269341530959424643 2269341530959424643 1] 203206924
[1 5873317982803155464 5873317982803155464 1] 203904169
[1 8323616056709401117 8323616056709401117 1] 204530317
[1 4852342352453309314 4852342352453309314 1] 205385239
[1 3219269621666571012 3219269621666571012 1] 206246475
[1 8555612586013675980 8555612586013675980 1] 206700038
[1 4486208703608854876 4486208703608854876 1] 206952887
[1 1980691158095603428 1980691158095603428 2] 208647493
[1 6520185239836403810 6520185239836403810 1] 208344801
[1 2332873300355990351 2332873300355990351 3] 208948354
[1 5788881540600095843 5788881540600095843 1] 209587179
[1 9194213822884330834 9194213822884330834 1] 209140949
[1 8783398529814028400 8783398529814028400 1] 210085516
[1 5063561934843515109 5063561934843515109 1] 210466206
[1 3923278645798607949 3923278645798607949 1] 211923409
[1 1335048254029551544 1335048254029551544 1] 211789695
[1 8783398529814028400 8783398529814028400 2] 212734628
[1 6487420009656927523 6487420009656927523 2] 214044246
[1 2737049106520977071 2737049106520977071 1] 215476300
[1 2351868443412837382 2351868443412837382 2] 215732893
[1 4672142790945023815 4672142790945023815 1] 217051055
[1 550672249647483098 550672249647483098 2] 217401156
[1 8630513118107105493 8630513118107105493 1] 218549712
[1 7816894275143735653 7816894275143735653 1] 219729767
[1 3829641242182598913 3829641242182598913 2] 219457441
[1 7942517674964614188 7942517674964614188 1] 221229546
[1 2059014550261616441 2059014550261616441 1] 221385434
[1 4808101553268135358 4808101553268135358 1] 222748287
[1 6020890979708936693 6020890979708936693 1] 223134868
[1 5719856726457577661 5719856726457577661 4] 223203130
[1 5190854629269504638 5190854629269504638 1] 222812610
[1 5719717182571015391 5719717182571015391 1] 222911370
[1 3656344101082318758 3656344101082318758 1] 223665583
[1 3727930850643909137 3727930850643909137 1] 225161497
