Running client with DIFFICULTY: 10
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 200
Start: 1
Difficulty: 10
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 81937 81937 1] 16539
[1 52552 52552 1] 7964
[1 99229 99229 1] 13907
[1 75408 75408 1] 11475
[1 76122 76122 1] 10114
[1 94396 94396 1] 13063
[1 61238 61238 1] 9549
[1 73794 73794 1] 10976
[1 94429 94429 1] 13868
[1 31012 31012 1] 4921
[1 39530 39530 1] 4936
[1 22405 22405 1] 3320
[1 55764 55764 1] 8833
[1 54539 54539 1] 6485
[1 36841 36841 1] 5854
[1 44819 44819 1] 6826
[1 70689 70689 1] 8322
[1 67918 67918 1] 10863
[1 66997 66997 1] 10200
[1 87744 87744 1] 12261
[1 12184 12184 1] 2255
[1 95500 95500 1] 13534
[1 6726 6726 1] 1332
[1 55591 55591 1] 8011
[1 68140 68140 1] 11208
[1 69787 69787 1] 9763
[1 38083 38083 1] 22352
[1 88465 88465 1] 13386
[1 39508 39508 1] 6458
[1 28805 28805 1] 4977
[1 78612 78612 1] 11747
[1 27829 27829 1] 3994
[1 87344 87344 1] 11695
[1 35569 35569 1] 8691
[1 55423 55423 1] 7326
[1 13811 13811 1] 1770
[1 21802 21802 1] 2682
[1 73731 73731 1] 10105
[1 11306 11306 1] 1490
[1 78737 78737 1] 9920
[1 48627 48627 1] 10577
[1 3466 3466 1] 607
[1 73417 73417 1] 12037
[1 13259 13259 1] 2477
[1 67638 67638 1] 9778
[1 5625 5625 1] 830
[1 44920 44920 1] 6633
[1 11900 11900 1] 4331
[1 45551 45551 1] 6407
[1 90072 90072 1] 11796
[1 87132 87132 1] 12559
[1 84931 84931 1] 104239
[1 45895 45895 1] 8414
[1 70164 70164 1] 9923
[1 87982 87982 1] 14472
[1 52997 52997 1] 9354
[1 13774 13774 1] 4009
[1 39669 39669 1] 6757
[1 81096 81096 1] 15706
[1 16467 16467 1] 2715
[1 11341 11341 1] 1509
[1 27685 27685 1] 4043
[1 55543 55543 1] 8934
[1 79108 79108 1] 11633
[1 19757 19757 1] 4354
[1 18419 18419 1] 2893
[1 89413 89413 1] 12630
[1 32173 32173 1] 5060
[1 62010 62010 1] 8215
[1 25211 25211 1] 3461
[1 67588 67588 1] 9786
[1 19302 19302 1] 2915
[1 67373 67373 1] 9195
[1 1256 1256 1] 346
[1 44600 44600 1] 8352
[1 29905 29905 1] 4024
[1 39812 39812 1] 4860
[1 15668 15668 1] 2030
[1 46229 46229 1] 6629
[1 29151 29151 1] 4363
[1 96659 96659 1] 13054
[1 89225 89225 1] 33396
[1 67270 67270 1] 9663
[1 54082 54082 1] 8634
[1 40085 40085 1] 4663
[1 11973 11973 1] 3971
[1 73851 73851 1] 9553
[1 5386 5386 1] 797
[1 39300 39300 1] 5438
[1 6043 6043 1] 935
[1 40714 40714 1] 5824
[1 56191 56191 1] 8059
[1 42591 42591 1] 5396
[1 8582 8582 1] 1576
[1 99337 99337 1] 18981
[1 71156 71156 1] 9751
[1 18005 18005 1] 2591
[1 14770 14770 1] 1856
[1 81777 81777 1] 11683
[1 47256 47256 1] 6670
[1 48143 48143 1] 7626
[1 45885 45885 1] 6595
