Running client with DIFFICULTY: 10
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 200
Start: 1
Difficulty: 10
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 887 887 1] 1215
[1 6916 6916 1] 970
[1 8336 8336 1] 1459
[1 493 493 1] 283
[1 1422 1422 1] 394
[1 28 28 1] 184
[1 60 60 1] 224
[1 3927 3927 1] 1422
[1 3427 3427 1] 546
[1 5737 5737 1] 828
[1 5369 5369 1] 865
[1 6430 6430 1] 966
[1 1531 1531 1] 346
[1 5124 5124 1] 780
[1 3136 3136 1] 544
[1 9803 9803 1] 2087
[1 3059 3059 1] 1277
[1 8168 8168 1] 1877
[1 8457 8457 1] 1198
[1 8043 8043 1] 1123
[1 7374 7374 1] 1091
[1 4920 4920 1] 1475
[1 8538 8538 1] 1999
[1 4325 4325 1] 689
[1 4371 4371 1] 670
[1 3527 3527 1] 588
[1 8981 8981 1] 1290
[1 1874 1874 1] 403
[1 9171 9171 1] 1245
[1 7282 7282 1] 1025
[1 926 926 1] 664
[1 6328 6328 1] 947
[1 6506 6506 1] 985
[1 1730 1730 1] 373
[1 5858 5858 1] 1739
[1 3896 3896 1] 646
[1 546 546 1] 271
[1 3368 3368 1] 617
[1 365 365 1] 1030
[1 3751 3751 1] 1284
[1 6809 6809 1] 6069
[1 7179 7179 1] 1095
[1 3585 3585 1] 1209
[1 2652 2652 1] 517
[1 2400 2400 1] 431
[1 5061 5061 1] 1089
[1 3369 3369 1] 561
[1 13 13 1] 166
[1 8587 8587 1] 1219
[1 7540 7540 1] 2363
[1 571 571 1] 231
[1 379 379 1] 1225
[1 6602 6602 1] 1026
[1 2903 2903 1] 518
[1 493 493 1] 264
[1 757 757 1] 306
[1 281 281 1] 188
[1 9442 9442 1] 2081
[1 9690 9690 1] 1665
[1 6620 6620 1] 1855
[1 4730 4730 1] 724
[1 8118 8118 1] 1948
[1 5772 5772 1] 884
[1 676 676 1] 9923
[1 8928 8928 1] 2290
[1 7857 7857 1] 1113
[1 2354 2354 1] 423
[1 6966 6966 1] 1008
[1 4684 4684 1] 1158
[1 8625 8625 1] 2005
[1 2872 2872 1] 482
[1 8830 8830 1] 2411
[1 20 20 1] 166
[1 3369 3369 1] 585
[1 6716 6716 1] 937
[1 8150 8150 1] 1851
[1 724 724 1] 287
[1 2246 2246 1] 518
[1 3452 3452 1] 583
[1 3556 3556 1] 614
[1 7489 7489 1] 1079
[1 8229 8229 1] 1159
[1 2351 2351 1] 451
[1 1501 1501 1] 345
[1 7765 7765 1] 1145
[1 4915 4915 1] 823
[1 5857 5857 1] 1028
[1 6492 6492 1] 7856
[1 8366 8366 1] 1187
[1 1937 1937 1] 414
[1 2552 2552 1] 1177
[1 9229 9229 1] 1296
[1 5408 5408 1] 839
[1 6122 6122 1] 1198
[1 4396 4396 1] 668
[1 1238 1238 1] 349
[1 3794 3794 1] 715
[1 4429 4429 1] 660
[1 1012 1012 1] 1071
[1 9530 9530 1] 1469
[1 2405 2405 1] 1153
[1 5764 5764 1] 1520
[1 4539 4539 1] 684
[1 6841 6841 1] 1194
[1 4819 4819 1] 889
[1 689 689 1] 326
[1 7918 7918 1] 1100
[1 6997 6997 1] 941
[1 7744 7744 1] 1327
[1 2184 2184 1] 396
[1 5500 5500 1] 814
[1 6726 6726 1] 989
[1 5591 5591 1] 766
[1 8140 8140 1] 2103
[1 9787 9787 1] 1303
[1 8083 8083 1] 1098
[1 8465 8465 1] 1179
[1 9508 9508 1] 1935
[1 8805 8805 1] 1151
[1 8612 8612 1] 1207
[1 7829 7829 1] 1076
[1 7344 7344 1] 1533
[1 5569 5569 1] 1564
[1 5423 5423 1] 835
[1 3811 3811 1] 591
[1 1802 1802 1] 1237
[1 3731 3731 1] 941
[1 1306 1306 1] 322
[1 8737 8737 1] 1197
[1 8627 8627 1] 1137
[1 3466 3466 1] 552
[1 3417 3417 1] 594
[1 3259 3259 1] 564
[1 7638 7638 1] 1026
[1 5625 5625 1] 807
[1 4920 4920 1] 739
[1 1900 1900 1] 388
[1 5551 5551 1] 843
[1 72 72 1] 171
[1 7132 7132 1] 1030
[1 4931 4931 1] 758
[1 5895 5895 1] 852
[1 164 164 1] 232
[1 7982 7982 1] 1118
[1 2997 2997 1] 527
[1 3774 3774 1] 1303
[1 9669 9669 1] 1249
[1 1096 1096 1] 324
[1 6467 6467 1] 1564
[1 1341 1341 1] 362
[1 7685 7685 1] 1147
[1 5543 5543 1] 815
[1 9108 9108 1] 1484
[1 9757 9757 1] 2295
[1 8419 8419 1] 12784
[1 9413 9413 1] 1571
[1 2173 2173 1] 449
[1 2010 2010 1] 569
[1 5211 5211 1] 1450
[1 7588 7588 1] 1180
[1 9302 9302 1] 1484
[1 7373 7373 1] 1026
[1 1256 1256 1] 320
[1 4600 4600 1] 993
[1 9905 9905 1] 1694
[1 9812 9812 1] 1662
[1 5668 5668 1] 972
[1 6229 6229 1] 875
[1 9151 9151 1] 2078
[1 6659 6659 1] 961
[1 9225 9225 1] 2811
[1 7270 7270 1] 1172
[1 4082 4082 1] 1586
[1 85 85 1] 565
[1 1973 1973 1] 413
[1 3851 3851 1] 982
[1 5386 5386 1] 1204
[1 9300 9300 1] 1241
[1 6043 6043 1] 913
[1 714 714 1] 256
[1 6191 6191 1] 1360
[1 2591 2591 1] 485
[1 8582 8582 1] 2231
[1 9337 9337 1] 1986
[1 1156 1156 1] 410
[1 8005 8005 1] 1226
[1 4770 4770 1] 706
[1 1777 1777 1] 380
[1 7256 7256 1] 1005
[1 8143 8143 1] 1603
[1 5885 5885 1] 869
[1 3206 3206 1] 547
[1 9568 9568 1] 1275
[1 614 614 1] 284
[1 2755 2755 1] 511
[1 4260 4260 1] 1820
[1 8203 8203 1] 1568
[1 3507 3507 1] 789
[1 2022 2022 1] 397
[1 869 869 1] 249

Results: 100.00 1153

Standard Error: 28.7076
Mean Waiting Time: 545.3
Statistics for DIFFICULTIES: 10000

